epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,361.761,0.71745,0.44373,0.79706,0.92487,0.79915,0.84834,0.69065,0.67477,0.48413,0.79239,0.000660045,0.000660045,0.000660045
43,378.131,0.71744,0.45462,0.79684,0.93386,0.78186,0.85058,0.68248,0.67975,0.50652,0.80112,0.000649046,0.000649046,0.000649046
44,394.476,0.65266,0.40167,0.77819,0.95813,0.78266,0.85651,0.68783,0.6722,0.5031,0.79959,0.000638047,0.000638047,0.000638047
45,411.478,0.63048,0.4055,0.7937,0.94986,0.76563,0.85883,0.69232,0.65567,0.4751,0.79306,0.000627048,0.000627048,0.000627048
46,428.373,0.64506,0.40984,0.79006,0.93563,0.75259,0.85507,0.6846,0.65833,0.47856,0.79805,0.000616049,0.000616049,0.000616049
47,445.044,0.64979,0.42202,0.79776,0.98449,0.77927,0.86877,0.71366,0.59982,0.44777,0.79589,0.000605051,0.000605051,0.000605051
48,461.734,0.66333,0.40193,0.78893,0.96475,0.77327,0.86528,0.70601,0.61865,0.46335,0.79529,0.000594052,0.000594052,0.000594052
49,478.22,0.67836,0.42366,0.79017,0.97872,0.76819,0.86596,0.70227,0.63822,0.46281,0.79478,0.000583053,0.000583053,0.000583053
50,494.538,0.63329,0.40376,0.79571,0.98661,0.78391,0.843,0.68559,0.61247,0.45538,0.79481,0.000572054,0.000572054,0.000572054
51,510.784,0.63338,0.40562,0.7911,0.907,0.81911,0.8555,0.69708,0.60815,0.43936,0.7946,0.000561055,0.000561055,0.000561055
52,526.922,0.62953,0.38901,0.78645,0.93701,0.79009,0.86786,0.72463,0.61381,0.44149,0.7917,0.000550056,0.000550056,0.000550056
53,543.316,0.65443,0.3926,0.79109,0.96685,0.83589,0.88557,0.70155,0.64831,0.47084,0.79454,0.000539057,0.000539057,0.000539057
54,559.291,0.61359,0.36751,0.78146,0.97838,0.84336,0.88607,0.7099,0.60229,0.44863,0.79142,0.000528058,0.000528058,0.000528058
55,575.38,0.60042,0.3733,0.78616,0.96622,0.80443,0.87347,0.70041,0.6081,0.42206,0.79209,0.000517059,0.000517059,0.000517059
56,591.38,0.60949,0.37917,0.77393,0.94989,0.80204,0.8748,0.71374,0.60327,0.40537,0.78856,0.00050606,0.00050606,0.00050606
57,607.516,0.60945,0.38028,0.77994,0.97558,0.81238,0.87376,0.68845,0.63633,0.41374,0.78789,0.000495062,0.000495062,0.000495062
58,624.598,0.61063,0.39527,0.77992,0.94351,0.82084,0.88642,0.70022,0.61942,0.40806,0.78876,0.000484063,0.000484063,0.000484063
59,640.321,0.61165,0.37518,0.78777,0.97535,0.77985,0.84686,0.70803,0.59614,0.42393,0.79182,0.000473064,0.000473064,0.000473064
60,655.97,0.5895,0.36237,0.78796,0.95566,0.79507,0.85097,0.69834,0.61534,0.4212,0.79162,0.000462065,0.000462065,0.000462065
61,671.618,0.67296,0.39688,0.78545,0.95137,0.82985,0.85358,0.70093,0.59586,0.40467,0.79035,0.000451066,0.000451066,0.000451066
62,687.089,0.60372,0.368,0.79026,0.92403,0.83316,0.85428,0.70681,0.589,0.40248,0.78871,0.000440067,0.000440067,0.000440067
63,702.861,0.5809,0.38051,0.77496,0.97248,0.75416,0.85105,0.70601,0.59049,0.42736,0.79082,0.000429068,0.000429068,0.000429068
64,719.117,0.58795,0.36383,0.78382,0.94387,0.77087,0.83325,0.69334,0.60627,0.48932,0.79021,0.000418069,0.000418069,0.000418069
65,735.395,0.5634,0.34654,0.7848,0.9619,0.77077,0.85154,0.70214,0.5851,0.44066,0.78758,0.00040707,0.00040707,0.00040707
66,751.386,0.59156,0.34531,0.77106,0.93971,0.8047,0.84866,0.71339,0.5979,0.40912,0.79123,0.000396071,0.000396071,0.000396071
67,766.92,0.56447,0.33936,0.77452,0.94821,0.79819,0.84492,0.69833,0.60301,0.4236,0.79304,0.000385073,0.000385073,0.000385073
