epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,216.057,0.96985,0.68668,0.85813,0.83485,0.79098,0.84751,0.63192,0.96849,0.70532,0.82524,0.00071088,0.00071088,0.00071088
43,220.907,0.9604,0.65983,0.84871,0.96656,0.7985,0.85228,0.64254,0.95707,0.5552,0.81432,0.000694065,0.000694065,0.000694065
44,225.777,0.96025,0.68524,0.85481,0.95149,0.76976,0.86985,0.6334,0.99734,0.60101,0.82193,0.000677113,0.000677113,0.000677113
45,230.673,0.95079,0.63363,0.84824,0.93884,0.77175,0.88096,0.60992,1.11147,0.59964,0.85163,0.000660042,0.000660042,0.000660042
46,235.754,0.93155,0.61533,0.85763,0.85593,0.84923,0.88604,0.66042,0.88004,0.55182,0.81956,0.000642868,0.000642868,0.000642868
47,240.841,1.00726,0.7068,0.86019,0.91623,0.83494,0.90265,0.63153,1.01437,0.58006,0.8358,0.000625608,0.000625608,0.000625608
48,245.805,0.93948,0.61318,0.85297,0.95957,0.8187,0.8973,0.64228,1.03318,0.56623,0.83837,0.00060828,0.00060828,0.00060828
49,250.765,0.92343,0.63199,0.84235,0.95281,0.83768,0.89917,0.65355,1.03713,0.57843,0.82983,0.000590901,0.000590901,0.000590901
50,255.713,0.9245,0.60242,0.83993,0.91224,0.87638,0.89698,0.63959,1.02924,0.547,0.83103,0.000573487,0.000573487,0.000573487
51,260.627,0.98078,0.65804,0.84074,0.95634,0.8463,0.89927,0.64777,0.97141,0.53291,0.83006,0.000556056,0.000556056,0.000556056
52,265.624,0.94725,0.61041,0.85052,0.95847,0.84721,0.90492,0.59197,1.19521,0.59507,0.86496,0.000538624,0.000538624,0.000538624
53,270.53,0.94925,0.60685,0.86002,0.94015,0.86848,0.90195,0.67359,0.85716,0.53089,0.82252,0.00052121,0.00052121,0.00052121
54,275.504,0.92994,0.5887,0.83746,0.92877,0.8711,0.90227,0.67267,0.86244,0.5282,0.81147,0.000503831,0.000503831,0.000503831
55,280.423,0.9215,0.59666,0.84496,0.89182,0.8882,0.89601,0.66282,0.86002,0.50373,0.81167,0.000486503,0.000486503,0.000486503
56,285.329,0.91917,0.58902,0.83908,0.86926,0.90112,0.89679,0.69911,0.71646,0.50185,0.79808,0.000469243,0.000469243,0.000469243
57,290.186,0.93796,0.64967,0.82933,0.86904,0.89753,0.89734,0.66923,0.88163,0.55953,0.81131,0.000452069,0.000452069,0.000452069
58,295.048,0.90649,0.617,0.83273,0.90386,0.84811,0.90047,0.67592,0.81316,0.50313,0.8084,0.000434998,0.000434998,0.000434998
